sep=;
Ruralit - El ceibo
Periodo:;Historial Completo
Generado el:;21/6/2026

RESUMEN FINANCIERO
Moneda;Ingresos;Egresos;Saldo Neto
USD;1382096;1472592.74;-90496.73999999999
UYU;8008943;233878;7775065


DETALLE DE OPERACIONES
Fecha;Tipo;Categoria;Proyecto;Monto;Moneda;Nota
2028-03-16;Salida;Impuestos;;360.11;USD;IVA
2028-03-16;Salida;Impuestos;;360.11;USD;Gasto Proveedor PDF
2028-03-16;Salida;Impuestos;;360.11;USD;Gasto Proveedor PDF
2026-06-21;Salida;Alimentación / ración;;40;USD;Compré 20 bolsas de ración por 40 USD cada una
2026-06-21;Salida;Alimentación / ración;;40;USD;Compré 20 bolsas de ración por 40 USD cada una
2026-06-21;Entrada;Venta de terneros;;900;USD;Vendí 2 terneros por 900 USD
2026-06-17;Salida;Fertilizantes;;700;USD;Gasté 700 en fertilizantes
2026-06-16;Salida;Combustible;;3500;UYU;Gasté 3.500 UYU en combustible
2026-06-16;Salida;Suplementos;;2000;USD;Gaste 2000 en suplementos 
2026-06-12;Entrada;Venta de vacas;;10000;USD;Vendi 20 vacas a 500 dls cada una
2026-06-12;Salida;Inversión / Compra de Activos;;5000;USD;Inversion inicial: lote de terneroz
2026-06-12;Salida;Vacunas;;4000;UYU;Gaste 4000 pesos en vacunas
2026-06-12;Entrada;Venta de novillos;;10000;USD;
2026-06-12;Salida;Impuestos;;250;USD;Impuestos sobre venta: Venta de novillos (BPS 0% + IMEBA 2% + INMOBILIARIA 0% + MEVIR 0.5% + PATRIMONIO 0% + PRIMARIA 0%)
2026-06-12;Salida;Combustible;;354.1;USD;
2026-06-12;Salida;Salidas/fiesta;;3000;UYU;Gasto 3000 alcohol
2026-06-06;Salida;Alambrados;;2042;USD;Gaste 2042 dólares en postes
2026-06-06;Salida;Super;;3000;UYU;Super 3000 pesos
2026-06-05;Salida;Combustible;;8000;UYU;Combustible tractor 8000
2026-06-04;Salida;Electricidad;;5000;UYU;Gaste 5000 en el pago de la luz
2026-06-04;Entrada;Venta de vacas;;14000;USD;Vendi 20 vacas a 700 dls cada una
2026-06-04;Entrada;Otros ingresos;;15000;UYU;Cobré servicio de maquinaria 15000
2026-06-04;Salida;Combustible;;4500;UYU;Cargué combustible por 4500
2026-06-04;Salida;Antiparasitarios;;200;USD;Compre dectomax por 200 dls
2026-06-04;Salida;Arrendamiento de campo;;5000;USD;Rente el campo por 5000 dls
2026-05-27;Entrada;Venta de animales;;5000;USD;
2026-05-27;Entrada;Venta de animales;;5000;USD;
2026-05-27;Salida;Fertilizantes;;500;USD;Gaste 500 dolares en fertilizantes
2026-05-27;Salida;Impuestos;;360.11;USD;IVA
2026-05-26;Entrada;Venta de animales;;5000;USD;
2026-05-25;Entrada;Arrendamiento cobrado;;5000;USD;Ingreso 5000 dolares de arrendamiento
2026-05-25;Entrada;Venta de animales;;1000;USD;Venta / salida
2026-05-25;Salida;Electricidad;;2000;USD;Pague la luz por 2000
2026-05-25;Salida;Vacunas;;300;USD;Gaste 300 dls en vacunas
2026-05-25;Entrada;Venta de Animales;Vaquillonas;2799;USD;Vendi 4 vaquillonas
2026-05-25;Salida;Compra de ganado;;10000;USD;Compre 20 vacas a 500 dls cada una
2026-05-25;Entrada;Pastoreo cobrado;;3000;USD;Ingreso monetario
2026-05-25;Entrada;Otros ingresos;;2000;USD;Venta / salida
2026-05-25;Salida;Inversión / Compra de Activos;Vaquillonas;4000;USD;Inversion inicial: Vaquillonas
2026-05-25;Entrada;Venta de animales;Vaquillonas;5995;USD;vendi una vaquillona
2026-05-25;Salida;Otros gastos;;800;USD;Compre 2000kg de fertilizante
2026-05-25;Salida;Alimentación / ración;;200;USD;Gaste 200 dolares en racion
2026-05-25;Entrada;Otros ingresos;;20000;USD;Vendi todo por 20000
2026-05-25;Entrada;Servicios agrícolas;Massey;2000;USD;Ingreso monetario
2026-05-25;Salida;Inversión / Compra de Activos;;4000;UYU;Inversion inicial: vaquillonas
2026-05-25;Salida;Vacunas;Vaquillonas;200;USD;Gaste 200 dls en vacunas
